run_accession	sample_accession	secondary_sample_accession	experiment_accession	study_accession	tax_id	scientific_name	read_count	fastq_bytes	fastq_ftp	submitted_ftp	sra_bytes	sra_ftp	sample_alias	sample_title	bam_ftp
ERR1620309	SAMEA4431922	ERS1343371	ERX1690674	PRJEB15371	408170	human gut metagenome	21698083	1710669654;1744640489	ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/009/ERR1620309/ERR1620309_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/009/ERR1620309/ERR1620309_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620309/RSZAXPI003095-129.rmhost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620309/RSZAXPI003095-129.rmhost.2.fq.gz	3003784066	ftp.sra.ebi.ac.uk/vol1/err/ERR162/009/ERR1620309	RSZAXPI003095-129	Stool sample from China	
ERR1620310	SAMEA4431923	ERS1343372	ERX1690675	PRJEB15371	408170	human gut metagenome	20907480	1669161816;1687194017	ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/000/ERR1620310/ERR1620310_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/000/ERR1620310/ERR1620310_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620310/RSZAXPI003096-130.rmhost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620310/RSZAXPI003096-130.rmhost.2.fq.gz	2914470840	ftp.sra.ebi.ac.uk/vol1/err/ERR162/000/ERR1620310	RSZAXPI003096-130	Stool sample from China	
ERR1620315	SAMEA4431928	ERS1343377	ERX1690680	PRJEB15371	408170	human gut metagenome	22098430	1740407237;1775802140	ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/005/ERR1620315/ERR1620315_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/005/ERR1620315/ERR1620315_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620315/RSZAXPI003079-113.rmhost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620315/RSZAXPI003079-113.rmhost.2.fq.gz	3053417194	ftp.sra.ebi.ac.uk/vol1/err/ERR162/005/ERR1620315	RSZAXPI003079-113	Stool sample from China	
ERR1620319	SAMEA4431932	ERS1343381	ERX1690684	PRJEB15371	408170	human gut metagenome	25951306	2127907488;2166971644	ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/009/ERR1620319/ERR1620319_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/009/ERR1620319/ERR1620319_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620319/RSZAXPI003102-140.rmhost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620319/RSZAXPI003102-140.rmhost.2.fq.gz	3737803954	ftp.sra.ebi.ac.uk/vol1/err/ERR162/009/ERR1620319	RSZAXPI003102-140	Stool sample from China	
ERR1620327	SAMEA4431940	ERS1343389	ERX1690692	PRJEB15371	408170	human gut metagenome	26613199	2284140088;2299258086	ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/007/ERR1620327/ERR1620327_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/007/ERR1620327/ERR1620327_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620327/SZAXPI029556-40.rmhost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620327/SZAXPI029556-40.rmhost.2.fq.gz	3989063131	ftp.sra.ebi.ac.uk/vol1/err/ERR162/007/ERR1620327	SZAXPI029556-40	Stool sample from China	
ERR1620331	SAMEA4431944	ERS1343393	ERX1690696	PRJEB15371	408170	human gut metagenome	31407982	2647076921;2637140273	ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/001/ERR1620331/ERR1620331_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/001/ERR1620331/ERR1620331_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620331/SZAXPI029560-51.rmhost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620331/SZAXPI029560-51.rmhost.2.fq.gz	4610458159	ftp.sra.ebi.ac.uk/vol1/err/ERR162/001/ERR1620331	SZAXPI029560-51	Stool sample from China	
ERR1620336	SAMEA4431949	ERS1343398	ERX1690701	PRJEB15371	408170	human gut metagenome	32528089	2747455337;2754380960	ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/006/ERR1620336/ERR1620336_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/006/ERR1620336/ERR1620336_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620336/SZAXPI029565-77.rmhost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620336/SZAXPI029565-77.rmhost.2.fq.gz	4801964182	ftp.sra.ebi.ac.uk/vol1/err/ERR162/006/ERR1620336	SZAXPI029565-77	Stool sample from China	
ERR1620338	SAMEA4431951	ERS1343400	ERX1690703	PRJEB15371	408170	human gut metagenome	27041096	2319140220;2336458904	ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/008/ERR1620338/ERR1620338_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/008/ERR1620338/ERR1620338_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620338/SZAXPI029567-80.rmhost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620338/SZAXPI029567-80.rmhost.2.fq.gz	4063128146	ftp.sra.ebi.ac.uk/vol1/err/ERR162/008/ERR1620338	SZAXPI029567-80	Stool sample from China	
ERR1620341	SAMEA4431954	ERS1343403	ERX1690706	PRJEB15371	408170	human gut metagenome	29031695	2487712906;2493962601	ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/001/ERR1620341/ERR1620341_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/001/ERR1620341/ERR1620341_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620341/SZAXPI029570-85.rmhost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620341/SZAXPI029570-85.rmhost.2.fq.gz	4334819595	ftp.sra.ebi.ac.uk/vol1/err/ERR162/001/ERR1620341	SZAXPI029570-85	Stool sample from China	
ERR1620342	SAMEA4431955	ERS1343404	ERX1690707	PRJEB15371	408170	human gut metagenome	30077533	2572724676;2559264337	ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/002/ERR1620342/ERR1620342_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/002/ERR1620342/ERR1620342_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620342/SZAXPI029571-86.rmhost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620342/SZAXPI029571-86.rmhost.2.fq.gz	4468093389	ftp.sra.ebi.ac.uk/vol1/err/ERR162/002/ERR1620342	SZAXPI029571-86	Stool sample from China	
ERR1620345	SAMEA4431958	ERS1343407	ERX1690710	PRJEB15371	408170	human gut metagenome	33402776	2843508229;2813488739	ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/005/ERR1620345/ERR1620345_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/005/ERR1620345/ERR1620345_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620345/SZAXPI029574-89.rmhost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620345/SZAXPI029574-89.rmhost.2.fq.gz	4936452747	ftp.sra.ebi.ac.uk/vol1/err/ERR162/005/ERR1620345	SZAXPI029574-89	Stool sample from China	
ERR1620346	SAMEA4431959	ERS1343408	ERX1690711	PRJEB15371	408170	human gut metagenome	25082459	2152785119;2150317485	ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/006/ERR1620346/ERR1620346_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/006/ERR1620346/ERR1620346_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620346/SZAXPI029575-90.rmhost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620346/SZAXPI029575-90.rmhost.2.fq.gz	3748953858	ftp.sra.ebi.ac.uk/vol1/err/ERR162/006/ERR1620346	SZAXPI029575-90	Stool sample from China	
ERR1620351	SAMEA4431964	ERS1343413	ERX1690716	PRJEB15371	408170	human gut metagenome	25429450	2217932067;2281042465	ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/001/ERR1620351/ERR1620351_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/001/ERR1620351/ERR1620351_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620351/SZAXPI029580-98.rmhost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620351/SZAXPI029580-98.rmhost.2.fq.gz	3926809415	ftp.sra.ebi.ac.uk/vol1/err/ERR162/001/ERR1620351	SZAXPI029580-98	Stool sample from China	
ERR1620352	SAMEA4431965	ERS1343414	ERX1690717	PRJEB15371	408170	human gut metagenome	27762323	2434615746;2500669670	ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/002/ERR1620352/ERR1620352_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/002/ERR1620352/ERR1620352_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620352/SZAXPI029581-99.rmhost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620352/SZAXPI029581-99.rmhost.2.fq.gz	4310931701	ftp.sra.ebi.ac.uk/vol1/err/ERR162/002/ERR1620352	SZAXPI029581-99	Stool sample from China	
ERR1620354	SAMEA4431967	ERS1343416	ERX1690719	PRJEB15371	408170	human gut metagenome	27725288	2398365621;2454402108	ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/004/ERR1620354/ERR1620354_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/004/ERR1620354/ERR1620354_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620354/SZAXPI029583-101.rmhost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620354/SZAXPI029583-101.rmhost.2.fq.gz	4216763827	ftp.sra.ebi.ac.uk/vol1/err/ERR162/004/ERR1620354	SZAXPI029583-101	Stool sample from China	
ERR1620362	SAMEA4431975	ERS1343424	ERX1690727	PRJEB15371	408170	human gut metagenome	35822312	3185139006;3285679750	ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/002/ERR1620362/ERR1620362_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/002/ERR1620362/ERR1620362_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620362/SZAXPI029591-123.rmhost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620362/SZAXPI029591-123.rmhost.2.fq.gz	5622377320	ftp.sra.ebi.ac.uk/vol1/err/ERR162/002/ERR1620362	SZAXPI029591-123	Stool sample from China	
ERR1620369	SAMEA4431982	ERS1343431	ERX1690734	PRJEB15371	408170	human gut metagenome	30388316	2682510593;2778990939	ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/009/ERR1620369/ERR1620369_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/009/ERR1620369/ERR1620369_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620369/SZAXPI029597-158.rmhost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620369/SZAXPI029597-158.rmhost.2.fq.gz	4751117831	ftp.sra.ebi.ac.uk/vol1/err/ERR162/009/ERR1620369	SZAXPI029597-158	Stool sample from China	
ERR1620370	SAMEA4431983	ERS1343432	ERX1690735	PRJEB15371	408170	human gut metagenome	30086968	2642972701;2725503488	ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/000/ERR1620370/ERR1620370_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/000/ERR1620370/ERR1620370_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620370/SZAXPI029598-166.rmhost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620370/SZAXPI029598-166.rmhost.2.fq.gz	4667394903	ftp.sra.ebi.ac.uk/vol1/err/ERR162/000/ERR1620370	SZAXPI029598-166	Stool sample from China	
ERR1620260	SAMEA4431873	ERS1343322	ERX1690625	PRJEB15371	408170	human gut metagenome	33322190	2852551286;2856150623	ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/000/ERR1620260/ERR1620260_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/000/ERR1620260/ERR1620260_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620260/SZAXPI029541-107.rmhost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620260/SZAXPI029541-107.rmhost.2.fq.gz	4968389802	ftp.sra.ebi.ac.uk/vol1/err/ERR162/000/ERR1620260	SZAXPI029541-107	Stool sample from China	
ERR1620266	SAMEA4431879	ERS1343328	ERX1690631	PRJEB15371	408170	human gut metagenome	30180186	2587261567;2597000440	ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/006/ERR1620266/ERR1620266_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/006/ERR1620266/ERR1620266_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620266/SZAXPI029549-142.rmhost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620266/SZAXPI029549-142.rmhost.2.fq.gz	4534912680	ftp.sra.ebi.ac.uk/vol1/err/ERR162/006/ERR1620266	SZAXPI029549-142	Stool sample from China	
ERR1620372	SAMEA4431985	ERS1343434	ERX1690737	PRJEB15371	408170	human gut metagenome	29246268	2579628875;2681649930	ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/002/ERR1620372/ERR1620372_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/002/ERR1620372/ERR1620372_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620372/SZAXPI029492-90.rmhost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620372/SZAXPI029492-90.rmhost.2.fq.gz	4579234684	ftp.sra.ebi.ac.uk/vol1/err/ERR162/002/ERR1620372	SZAXPI029492-90	Stool sample from China	
ERR1620267	SAMEA4431880	ERS1343329	ERX1690632	PRJEB15371	408170	human gut metagenome	29193536	2471370764;2448454571	ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/007/ERR1620267/ERR1620267_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/007/ERR1620267/ERR1620267_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620267/SZAXPI029550-158.rmhost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620267/SZAXPI029550-158.rmhost.2.fq.gz	4284919975	ftp.sra.ebi.ac.uk/vol1/err/ERR162/007/ERR1620267	SZAXPI029550-158	Stool sample from China	
ERR1620374	SAMEA4431987	ERS1343436	ERX1690739	PRJEB15371	408170	human gut metagenome	31448145	2768787979;2860036939	ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/004/ERR1620374/ERR1620374_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/004/ERR1620374/ERR1620374_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620374/SZAXPI029600-27.rmhost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620374/SZAXPI029600-27.rmhost.2.fq.gz	4916035903	ftp.sra.ebi.ac.uk/vol1/err/ERR162/004/ERR1620374	SZAXPI029600-27	Stool sample from China	
ERR1620269	SAMEA4431882	ERS1343331	ERX1690634	PRJEB15371	408170	human gut metagenome	37976366	3080206521;3127004301	ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/009/ERR1620269/ERR1620269_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/009/ERR1620269/ERR1620269_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620269/RSZAXPI003105-143.rmhost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620269/RSZAXPI003105-143.rmhost.2.fq.gz	5427282359	ftp.sra.ebi.ac.uk/vol1/err/ERR162/009/ERR1620269	RSZAXPI003105-143	Stool sample from China	
ERR1620270	SAMEA4431883	ERS1343332	ERX1690635	PRJEB15371	408170	human gut metagenome	24857880	2232003867;2301971820	ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/000/ERR1620270/ERR1620270_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/000/ERR1620270/ERR1620270_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620270/SZAXPI029467-166.rmhost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620270/SZAXPI029467-166.rmhost.2.fq.gz	3945624686	ftp.sra.ebi.ac.uk/vol1/err/ERR162/000/ERR1620270	SZAXPI029467-166	Stool sample from China	
ERR1620273	SAMEA4431886	ERS1343335	ERX1690638	PRJEB15371	408170	human gut metagenome	24203355	1916897093;1961620889	ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/003/ERR1620273/ERR1620273_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/003/ERR1620273/ERR1620273_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620273/RSZAXPI003108-148.rmhost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620273/RSZAXPI003108-148.rmhost.2.fq.gz	3391105193	ftp.sra.ebi.ac.uk/vol1/err/ERR162/003/ERR1620273	RSZAXPI003108-148	Stool sample from China	
ERR1620376	SAMEA4431989	ERS1343438	ERX1690741	PRJEB15371	408170	human gut metagenome	26941265	2369029703;2432329080	ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/006/ERR1620376/ERR1620376_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/006/ERR1620376/ERR1620376_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620376/SZAXPI029602-33.rmhost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620376/SZAXPI029602-33.rmhost.2.fq.gz	4184844857	ftp.sra.ebi.ac.uk/vol1/err/ERR162/006/ERR1620376	SZAXPI029602-33	Stool sample from China	
ERR1620256	SAMEA4431869	ERS1343318	ERX1690621	PRJEB15371	408170	human gut metagenome	24865185	2127733331;2132862204	ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/006/ERR1620256/ERR1620256_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/006/ERR1620256/ERR1620256_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620256/SZAXPI029500-102.rmhost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620256/SZAXPI029500-102.rmhost.2.fq.gz	3709625492	ftp.sra.ebi.ac.uk/vol1/err/ERR162/006/ERR1620256	SZAXPI029500-102	Stool sample from China	
ERR1620275	SAMEA4431888	ERS1343337	ERX1690640	PRJEB15371	408170	human gut metagenome	26690643	2333132006;2403663169	ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/005/ERR1620275/ERR1620275_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/005/ERR1620275/ERR1620275_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620275/SZAXPI029479-64.rmhost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620275/SZAXPI029479-64.rmhost.2.fq.gz	4139835718	ftp.sra.ebi.ac.uk/vol1/err/ERR162/005/ERR1620275	SZAXPI029479-64	Stool sample from China	
