run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	read_count	fastq_bytes	fastq_ftp	submitted_ftp	sra_bytes	sra_ftp	sample_alias	sample_title	bam_ftp
ERR1776153	SAMEA39952918	ERX1841146	PRJEB18780	1879010	Bacillota bacterium	0			ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776153/S34_a_WGS.fasta.gz			S34_a_WGS	CICRA	
ERR1776102	SAMEA40097668	ERX1841095	PRJEB18780	1879010	Bacillota bacterium	0			ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776102/S101_a_WGS.fasta.gz			S101_a_WGS	CICRA	
ERR1776156	SAMEA39883918	ERX1841149	PRJEB18780	1879010	Bacillota bacterium	0			ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776156/S3_a_WGS.fasta.gz			S3_a_WGS	CICRA	
ERR1776160	SAMEA39979168	ERX1841153	PRJEB18780	1879010	Bacillota bacterium	0			ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776160/S47_a_WGS.fasta.gz			S47_a_WGS	CICRA	
ERR1776103	SAMEA40099918	ERX1841096	PRJEB18780	1879010	Bacillota bacterium	0			ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776103/S102_a_WGS.fasta.gz			S102_a_WGS	CICRA	
ERR1776163	SAMEA39886168	ERX1841156	PRJEB18780	1879010	Bacillota bacterium	0			ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776163/S4_a_WGS.fasta.gz			S4_a_WGS	CICRA	
ERR1776167	SAMEA39993418	ERX1841160	PRJEB18780	1879010	Bacillota bacterium	0			ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776167/S53_a_WGS.fasta.gz			S53_a_WGS	CICRA	
ERR1776112	SAMEA40172668	ERX1841105	PRJEB18780	1879010	Bacillota bacterium	0			ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776112/S139_a_WGS.fasta.gz			S139_a_WGS	CICRA	
ERR1776173	SAMEA40007668	ERX1841166	PRJEB18780	1879010	Bacillota bacterium	0			ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776173/S59_a_WGS.fasta.gz			S59_a_WGS	CICRA	
ERR1776174	SAMEA39889168	ERX1841167	PRJEB18780	1879010	Bacillota bacterium	0			ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776174/S5_a_WGS.fasta.gz			S5_a_WGS	CICRA	
ERR1776113	SAMEA39905668	ERX1841106	PRJEB18780	1879010	Bacillota bacterium	0			ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776113/S13_a_WGS.fasta.gz			S13_a_WGS	CICRA	
ERR1776179	SAMEA40021168	ERX1841172	PRJEB18780	1879010	Bacillota bacterium	0			ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776179/S64_a_WGS.fasta.gz			S64_a_WGS	CICRA	
ERR1776182	SAMEA40028668	ERX1841175	PRJEB18780	1879010	Bacillota bacterium	0			ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776182/S67_a_WGS.fasta.gz			S67_a_WGS	CICRA	
ERR1776116	SAMEA40183918	ERX1841109	PRJEB18780	1879010	Bacillota bacterium	0			ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776116/S144_a_WGS.fasta.gz			S144_a_WGS	CICRA	
ERR1776185	SAMEA39892168	ERX1841178	PRJEB18780	1879010	Bacillota bacterium	0			ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776185/S6_a_WGS.fasta.gz			S6_a_WGS	CICRA	
ERR1776193	SAMEA40061668	ERX1841186	PRJEB18780	1879010	Bacillota bacterium	0			ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776193/S82_a_WGS.fasta.gz			S82_a_WGS	CICRA	
ERR1776122	SAMEA40202668	ERX1841115	PRJEB18780	1879010	Bacillota bacterium	0			ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776122/S151_a_WGS.fasta.gz			S151_a_WGS	CICRA	
ERR1776589	SAMEA40095418	ERX1841582	PRJEB18780	1879010	Bacillota bacterium	68707	8184706;10252231	ftp.sra.ebi.ac.uk/vol1/fastq/ERR177/009/ERR1776589/ERR1776589_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR177/009/ERR1776589/ERR1776589_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776589/S100_a_16S_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776589/S100_a_16S_R2.fastq.gz	21838791	ftp.sra.ebi.ac.uk/vol1/err/ERR177/009/ERR1776589	S100_a_16S	CICRA	
ERR1776592	SAMEA40098418	ERX1841585	PRJEB18780	1879010	Bacillota bacterium	52906	5583860;6689505	ftp.sra.ebi.ac.uk/vol1/fastq/ERR177/002/ERR1776592/ERR1776592_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR177/002/ERR1776592/ERR1776592_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776592/S101_b_16S_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776592/S101_b_16S_R2.fastq.gz	15231262	ftp.sra.ebi.ac.uk/vol1/err/ERR177/002/ERR1776592	S101_b_16S	CICRA	
ERR1776123	SAMEA40205668	ERX1841116	PRJEB18780	1879010	Bacillota bacterium	0			ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776123/S152_a_WGS.fasta.gz			S152_a_WGS	CICRA	
ERR1776593	SAMEA40099168	ERX1841586	PRJEB18780	1879010	Bacillota bacterium	16523	1713446;2188572	ftp.sra.ebi.ac.uk/vol1/fastq/ERR177/003/ERR1776593/ERR1776593_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR177/003/ERR1776593/ERR1776593_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776593/S102_a_16S_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776593/S102_a_16S_R2.fastq.gz	5157942	ftp.sra.ebi.ac.uk/vol1/err/ERR177/003/ERR1776593	S102_a_16S	CICRA	
ERR1776594	SAMEA40100668	ERX1841587	PRJEB18780	1879010	Bacillota bacterium	33833	3368468;4125554	ftp.sra.ebi.ac.uk/vol1/fastq/ERR177/004/ERR1776594/ERR1776594_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR177/004/ERR1776594/ERR1776594_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776594/S102_b_16S_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776594/S102_b_16S_R2.fastq.gz	9656250	ftp.sra.ebi.ac.uk/vol1/err/ERR177/004/ERR1776594	S102_b_16S	CICRA	
ERR1776597	SAMEA40103668	ERX1841590	PRJEB18780	1879010	Bacillota bacterium	23693	2275801;3024700	ftp.sra.ebi.ac.uk/vol1/fastq/ERR177/007/ERR1776597/ERR1776597_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR177/007/ERR1776597/ERR1776597_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776597/S104_a_16S_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776597/S104_a_16S_R2.fastq.gz	7165917	ftp.sra.ebi.ac.uk/vol1/err/ERR177/007/ERR1776597	S104_a_16S	CICRA	
ERR1776126	SAMEA40212418	ERX1841119	PRJEB18780	1879010	Bacillota bacterium	0			ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776126/S155_a_WGS.fasta.gz			S155_a_WGS	CICRA	
ERR1776598	SAMEA40105168	ERX1841591	PRJEB18780	1879010	Bacillota bacterium	49144	4575941;5908424	ftp.sra.ebi.ac.uk/vol1/fastq/ERR177/008/ERR1776598/ERR1776598_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR177/008/ERR1776598/ERR1776598_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776598/S104_b_16S_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776598/S104_b_16S_R2.fastq.gz	13732976	ftp.sra.ebi.ac.uk/vol1/err/ERR177/008/ERR1776598	S104_b_16S	CICRA	
ERR1776600	SAMEA40106668	ERX1841593	PRJEB18780	1879010	Bacillota bacterium	138359	14129696;17453625	ftp.sra.ebi.ac.uk/vol1/fastq/ERR177/000/ERR1776600/ERR1776600_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR177/000/ERR1776600/ERR1776600_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776600/S105_b_16S_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776600/S105_b_16S_R2.fastq.gz	39817578	ftp.sra.ebi.ac.uk/vol1/err/ERR177/000/ERR1776600	S105_b_16S	CICRA	
ERR1776604	SAMEA40109668	ERX1841597	PRJEB18780	1879010	Bacillota bacterium	42821	4389797;5366855	ftp.sra.ebi.ac.uk/vol1/fastq/ERR177/004/ERR1776604/ERR1776604_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR177/004/ERR1776604/ERR1776604_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776604/S107_b_16S_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776604/S107_b_16S_R2.fastq.gz	12304679	ftp.sra.ebi.ac.uk/vol1/err/ERR177/004/ERR1776604	S107_b_16S	CICRA	
ERR1776127	SAMEA40214668	ERX1841120	PRJEB18780	1879010	Bacillota bacterium	0			ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776127/S156_a_WGS.fasta.gz			S156_a_WGS	CICRA	
ERR1776605	SAMEA40110418	ERX1841598	PRJEB18780	1879010	Bacillota bacterium	5220	680948;743252	ftp.sra.ebi.ac.uk/vol1/fastq/ERR177/005/ERR1776605/ERR1776605_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR177/005/ERR1776605/ERR1776605_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776605/S108_a_16S_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776605/S108_a_16S_R2.fastq.gz	1773359	ftp.sra.ebi.ac.uk/vol1/err/ERR177/005/ERR1776605	S108_a_16S	CICRA	
ERR1776607	SAMEA40111918	ERX1841600	PRJEB18780	1879010	Bacillota bacterium	25659	3336457;3749658	ftp.sra.ebi.ac.uk/vol1/fastq/ERR177/007/ERR1776607/ERR1776607_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR177/007/ERR1776607/ERR1776607_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776607/S108_c_16S_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776607/S108_c_16S_R2.fastq.gz	7913980	ftp.sra.ebi.ac.uk/vol1/err/ERR177/007/ERR1776607	S108_c_16S	CICRA	
ERR1776609	SAMEA40113418	ERX1841602	PRJEB18780	1879010	Bacillota bacterium	13403	1584521;1765662	ftp.sra.ebi.ac.uk/vol1/fastq/ERR177/009/ERR1776609/ERR1776609_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR177/009/ERR1776609/ERR1776609_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776609/S109_b_16S_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776609/S109_b_16S_R2.fastq.gz	3994977	ftp.sra.ebi.ac.uk/vol1/err/ERR177/009/ERR1776609	S109_b_16S	CICRA	
ERR1776128	SAMEA40216918	ERX1841121	PRJEB18780	1879010	Bacillota bacterium	0			ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776128/S157_a_WGS.fasta.gz			S157_a_WGS	CICRA	
ERR1776610	SAMEA40114168	ERX1841603	PRJEB18780	1879010	Bacillota bacterium	19681	2542845;2846077	ftp.sra.ebi.ac.uk/vol1/fastq/ERR177/000/ERR1776610/ERR1776610_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR177/000/ERR1776610/ERR1776610_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776610/S109_c_16S_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776610/S109_c_16S_R2.fastq.gz	6037218	ftp.sra.ebi.ac.uk/vol1/err/ERR177/000/ERR1776610	S109_c_16S	CICRA	
ERR1776611	SAMEA39899668	ERX1841604	PRJEB18780	1879010	Bacillota bacterium	10417	1277112;1303503	ftp.sra.ebi.ac.uk/vol1/fastq/ERR177/001/ERR1776611/ERR1776611_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR177/001/ERR1776611/ERR1776611_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776611/S10_a_16S_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776611/S10_a_16S_R2.fastq.gz	3358920	ftp.sra.ebi.ac.uk/vol1/err/ERR177/001/ERR1776611	S10_a_16S	CICRA	
ERR1776130	SAMEA40221418	ERX1841123	PRJEB18780	1879010	Bacillota bacterium	0			ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776130/S159_a_WGS.fasta.gz			S159_a_WGS	CICRA	
ERR1776612	SAMEA39900418	ERX1841605	PRJEB18780	1879010	Bacillota bacterium	24073	2723213;2954252	ftp.sra.ebi.ac.uk/vol1/fastq/ERR177/002/ERR1776612/ERR1776612_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR177/002/ERR1776612/ERR1776612_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776612/S10_b_16S_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776612/S10_b_16S_R2.fastq.gz	7078409	ftp.sra.ebi.ac.uk/vol1/err/ERR177/002/ERR1776612	S10_b_16S	CICRA	
ERR1776615	SAMEA40116418	ERX1841608	PRJEB18780	1879010	Bacillota bacterium	15568	2025723;2238868	ftp.sra.ebi.ac.uk/vol1/fastq/ERR177/005/ERR1776615/ERR1776615_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR177/005/ERR1776615/ERR1776615_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776615/S110_c_16S_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776615/S110_c_16S_R2.fastq.gz	4770958	ftp.sra.ebi.ac.uk/vol1/err/ERR177/005/ERR1776615	S110_c_16S	CICRA	
ERR1776620	SAMEA40120168	ERX1841613	PRJEB18780	1879010	Bacillota bacterium	8087	996143;1091137	ftp.sra.ebi.ac.uk/vol1/fastq/ERR177/000/ERR1776620/ERR1776620_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR177/000/ERR1776620/ERR1776620_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776620/S112_b_16S_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776620/S112_b_16S_R2.fastq.gz	2421231	ftp.sra.ebi.ac.uk/vol1/err/ERR177/000/ERR1776620	S112_b_16S	CICRA	
ERR1776131	SAMEA39910918	ERX1841124	PRJEB18780	1879010	Bacillota bacterium	0			ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776131/S15_a_WGS.fasta.gz			S15_a_WGS	CICRA	
ERR1776625	SAMEA40123918	ERX1841618	PRJEB18780	1879010	Bacillota bacterium	7518	863400;1075181	ftp.sra.ebi.ac.uk/vol1/fastq/ERR177/005/ERR1776625/ERR1776625_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR177/005/ERR1776625/ERR1776625_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776625/S114_a_16S_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776625/S114_a_16S_R2.fastq.gz	2443883	ftp.sra.ebi.ac.uk/vol1/err/ERR177/005/ERR1776625	S114_a_16S	CICRA	
ERR1776628	SAMEA40126168	ERX1841621	PRJEB18780	1879010	Bacillota bacterium	5564	677444;860724	ftp.sra.ebi.ac.uk/vol1/fastq/ERR177/008/ERR1776628/ERR1776628_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR177/008/ERR1776628/ERR1776628_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776628/S115_a_16S_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776628/S115_a_16S_R2.fastq.gz	1888028	ftp.sra.ebi.ac.uk/vol1/err/ERR177/008/ERR1776628	S115_a_16S	CICRA	
ERR1776132	SAMEA40223668	ERX1841125	PRJEB18780	1879010	Bacillota bacterium	0			ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776132/S160_a_WGS.fasta.gz			S160_a_WGS	CICRA	
ERR1776632	SAMEA40129168	ERX1841625	PRJEB18780	1879010	Bacillota bacterium	69248	7611501;9094910	ftp.sra.ebi.ac.uk/vol1/fastq/ERR177/002/ERR1776632/ERR1776632_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR177/002/ERR1776632/ERR1776632_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776632/S116_b_16S_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776632/S116_b_16S_R2.fastq.gz	20063136	ftp.sra.ebi.ac.uk/vol1/err/ERR177/002/ERR1776632	S116_b_16S	CICRA	
ERR1776637	SAMEA40133668	ERX1841630	PRJEB18780	1879010	Bacillota bacterium	13561	1742587;2140730	ftp.sra.ebi.ac.uk/vol1/fastq/ERR177/007/ERR1776637/ERR1776637_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR177/007/ERR1776637/ERR1776637_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776637/S119_a_16S_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776637/S119_a_16S_R2.fastq.gz	4352126	ftp.sra.ebi.ac.uk/vol1/err/ERR177/007/ERR1776637	S119_a_16S	CICRA	
ERR1776641	SAMEA40135918	ERX1841634	PRJEB18780	1879010	Bacillota bacterium	9744	1167627;1468674	ftp.sra.ebi.ac.uk/vol1/fastq/ERR177/001/ERR1776641/ERR1776641_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR177/001/ERR1776641/ERR1776641_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776641/S120_a_16S_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776641/S120_a_16S_R2.fastq.gz	3190548	ftp.sra.ebi.ac.uk/vol1/err/ERR177/001/ERR1776641	S120_a_16S	CICRA	
ERR1776642	SAMEA40136668	ERX1841635	PRJEB18780	1879010	Bacillota bacterium	19420	2175056;2626761	ftp.sra.ebi.ac.uk/vol1/fastq/ERR177/002/ERR1776642/ERR1776642_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR177/002/ERR1776642/ERR1776642_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776642/S120_b_16S_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776642/S120_b_16S_R2.fastq.gz	5682906	ftp.sra.ebi.ac.uk/vol1/err/ERR177/002/ERR1776642	S120_b_16S	CICRA	
ERR1776644	SAMEA40138168	ERX1841637	PRJEB18780	1879010	Bacillota bacterium	1398	181726;222872	ftp.sra.ebi.ac.uk/vol1/fastq/ERR177/004/ERR1776644/ERR1776644_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR177/004/ERR1776644/ERR1776644_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776644/S121_a_16S_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776644/S121_a_16S_R2.fastq.gz	536604	ftp.sra.ebi.ac.uk/vol1/err/ERR177/004/ERR1776644	S121_a_16S	CICRA	
ERR1776135	SAMEA40230418	ERX1841128	PRJEB18780	1879010	Bacillota bacterium	0			ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776135/S163_a_WGS.fasta.gz			S163_a_WGS	CICRA	
ERR1776655	SAMEA40146418	ERX1841648	PRJEB18780	1879010	Bacillota bacterium	3068	377624;435077	ftp.sra.ebi.ac.uk/vol1/fastq/ERR177/005/ERR1776655/ERR1776655_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR177/005/ERR1776655/ERR1776655_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776655/S126_b_16S_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776655/S126_b_16S_R2.fastq.gz	932600	ftp.sra.ebi.ac.uk/vol1/err/ERR177/005/ERR1776655	S126_b_16S	CICRA	
ERR1776662	SAMEA40152418	ERX1841655	PRJEB18780	1879010	Bacillota bacterium	50302	5314756;6652886	ftp.sra.ebi.ac.uk/vol1/fastq/ERR177/002/ERR1776662/ERR1776662_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR177/002/ERR1776662/ERR1776662_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776662/S129_b_16S_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776662/S129_b_16S_R2.fastq.gz	14495801	ftp.sra.ebi.ac.uk/vol1/err/ERR177/002/ERR1776662	S129_b_16S	CICRA	
ERR1776664	SAMEA39903418	ERX1841657	PRJEB18780	1879010	Bacillota bacterium	4111	459719;493250	ftp.sra.ebi.ac.uk/vol1/fastq/ERR177/004/ERR1776664/ERR1776664_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR177/004/ERR1776664/ERR1776664_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776664/S12_b_16S_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776664/S12_b_16S_R2.fastq.gz	1279789	ftp.sra.ebi.ac.uk/vol1/err/ERR177/004/ERR1776664	S12_b_16S	CICRA	
ERR1776665	SAMEA39904168	ERX1841658	PRJEB18780	1879010	Bacillota bacterium	7374	918829;1081180	ftp.sra.ebi.ac.uk/vol1/fastq/ERR177/005/ERR1776665/ERR1776665_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR177/005/ERR1776665/ERR1776665_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776665/S12_c_16S_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776665/S12_c_16S_R2.fastq.gz	2330771	ftp.sra.ebi.ac.uk/vol1/err/ERR177/005/ERR1776665	S12_c_16S	CICRA	
ERR1776147	SAMEA39939418	ERX1841140	PRJEB18780	1879010	Bacillota bacterium	0			ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776147/S29_a_WGS.fasta.gz			S29_a_WGS	CICRA	
ERR1776670	SAMEA40156918	ERX1841663	PRJEB18780	1879010	Bacillota bacterium	13110	1413482;1811403	ftp.sra.ebi.ac.uk/vol1/fastq/ERR177/000/ERR1776670/ERR1776670_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR177/000/ERR1776670/ERR1776670_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776670/S132_a_16S_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776670/S132_a_16S_R2.fastq.gz	4115707	ftp.sra.ebi.ac.uk/vol1/err/ERR177/000/ERR1776670	S132_a_16S	CICRA	
